Date,Product ID,Category,Cost Price,Sales Price,Qty Sold
3/11/2025,RX-100,Home Electrical,247.99,384.38,9
3/11/2025,RX-101,Home Electrical,327.75,508.01,8
3/11/2025,RX-102,Home Electrical,152.25,235.99,12
3/11/2025,RX-103,Computing and Gaming,467,630.45,14
3/11/2025,RX-104,Computing and Gaming,395.75,534.26,15
3/11/2025,RX-105,Computing and Gaming,321.25,433.69,32
3/11/2025,RX-106,Accessories and Consumables,32,817.25,55
3/11/2025,RX-107,Accessories and Consumables,87.22,692.56,20
3/11/2026,RX-108,Accessories and Consumables,15.15,562.19,52
4/11/2025,RX-100,Home Electrical,247.99,384.38,0
4/11/2025,RX-101,Home Electrical,327.75,508.01,2
4/11/2025,RX-102,Home Electrical,152.25,235.99,11
4/11/2025,RX-103,Computing and Gaming,467,630.45,12
4/11/2025,RX-104,Computing and Gaming,395.75,534.26,14
4/11/2025,RX-105,Computing and Gaming,321.25,433.69,22
4/11/2025,RX-106,Accessories and Consumables,32,817.25,46
4/11/2025,RX-107,Accessories and Consumables,87.22,692.56,59
4/11/2025,RX-108,Accessories and Consumables,15.15,562.19,32
5/11/2025,RX-100,Home Electrical,247.99,384.38,12
5/11/2025,RX-101,Home Electrical,327.75,508.01,3
5/11/2025,RX-102,Home Electrical,152.25,235.99,2
5/11/2025,RX-103,Computing and Gaming,467,630.45,32
5/11/2025,RX-104,Computing and Gaming,395.75,534.26,11
5/11/2025,RX-105,Computing and Gaming,321.25,433.69,27
5/11/2025,RX-106,Accessories and Consumables,32,817.25,30
5/11/2025,RX-107,Accessories and Consumables,87.22,692.56,64
5/11/2025,RX-108,Accessories and Consumables,15.15,562.19,56
6/11/2025,RX-100,Home Electrical,247.99,384.38,10
6/11/2025,RX-101,Home Electrical,327.75,508.01,5
6/11/2025,RX-102,Home Electrical,152.25,235.99,5
6/11/2025,RX-103,Computing and Gaming,467,630.45,33
6/11/2025,RX-104,Computing and Gaming,395.75,534.26,6
6/11/2025,RX-105,Computing and Gaming,321.25,433.69,17
6/11/2025,RX-106,Accessories and Consumables,32,817.25,38
6/11/2025,RX-107,Accessories and Consumables,87.22,692.56,67
6/11/2025,RX-108,Accessories and Consumables,15.15,562.19,63
7/11/2025,RX-100,Home Electrical,247.99,384.38,11
7/11/2025,RX-101,Home Electrical,327.75,508.01,4
7/11/2025,RX-102,Home Electrical,152.25,235.99,0
